Number,areaaName,attaackNature,MartyrsNumber,Date
53,Waziristan,Attack On FC Troop ,10,"September 21, 2021"
54,Karachi,Terrorist Attack,4,"May 5, 2021"
55,Karachi,Terrorist Attack,10,"December 10, 2020"
56,Bajaur,Terrorist Attack,10,"February 11, 2020"
57,Quetta,Terrorist Attack,3,"June 15, 2018"
58,Bajaur,Terrorist Attack,10,"June 3, 2018"
59,Bajaur,Terrorist Attack,7,"February 23, 2017"
60,Sarghoda,Terrorist Attack,10,"October 8, 2016"
61,Hoshab,Terrorist Attack,9,"November 29, 2022"
62,Hoshab,Terrorist Attack,9,"November 26, 2022"
63,Peshawar,Terrorist Attack,20,"October 24, 2022"
64,Waziristan,Terrorist Attack,9,"October 22, 2022"
65,Bannu,Terrorist Attack,10,"October 17, 2022"
66,Waziristan,Terrorist Attack,10,"July 2, 2022"
67,Quetta,Terrorist Attack,3,"July 1, 2022"
68,Waziristan,Terrorist Attack,2,"June 26, 2022"
69,Dera Ismail Khan,Terrorist Attack,3,"June 25, 2022"
70,Makran,Terrorist Attack,6,"June 19, 2022"
71,Waziristan,Terrorist Attack,10,"April 19, 2022"
72,Dera Ismail Khan,Terrorist Attack,4,"April 17, 2022"
73,Panjgur,Terrorist Attack,2,"April 4, 2022"
74,Kandahar,Terrorist Attack,10,"March 24, 2022"
75,Kech,Terrorist Attack,8,"February 16, 2022"
76,Khuzdar,Terrorist Attack,7,"February 14, 2022"
77,Kurram,Terrorist Attack,8,"February 6, 2022"
78,Quetta,Terrorist Attack,8,"February 5, 2022"
79,Kech,Terrorist Attack,7,"February 4, 2022"
80,Panjgur,Terrorist Attack,7,"February 3, 2022"
81,Bannu,Terrorist Attack,12,"December 12, 2021"
82,Waziristan,Terrorist Attack,5,"October 30, 2021"
83,Peshawar,Terrorist Attack,8,"October 20, 2021"
84,Peshawar,Terrorist Attack,10,"October 18, 2021"
85,Kandahar,Terrorist Attack,8,"October 15, 2021"
86,Pakpattan,Terrorist Attack,10,"October 13, 2021"
87,Sahiwal,Terrorist Attack,5,"October 12, 2021"
88,Quetta,Terrorist Attack,9,"September 24, 2021"
89,Lahore,Terrorist Attack,7,"September 10, 2021"
90,Karachi,Terrorist Attack,6,"August 8, 2021"
91,Lahore,Terrorist Attack,12,"August 8, 2021"
92,Karachi,Terrorist Attack,2,"July 19, 2021"
93,Lahore,Terrorist Attack,7,"July 9, 2021"
94,Quetta,Terrorist Attack,5,"July 6, 2021"
95,Karachi,Terrorist Attack,8,"June 28, 2021"
96,Quetta,Terrorist Attack,7,"June 22, 2021"
97,Kharan,Terrorist Attack,4,"June 11, 2021"
98,Sukkur,Terrorist Attack,8,"June 6, 2021"
99,Karachi,Terrorist Attack,10,"April 27, 2021"
100,Waziristan,Terrorist Attack,13,"April 3, 2021"
100,Peshawar,Terrorist Attack,5,"March 17, 2021"
101,Swat,Terrorist Attack,12,"March 17, 2021"
102,Karachi,Terrorist Attack,9,"March 16, 2021"
103,Karachi,Terrorist Attack,7,"March 13, 2021"
104,Karachi,Terrorist Attack,4,"March 13, 2021"
105,Waziristan,Terrorist Attack,4,"March 7, 2021"
106,Karachi,Terrorist Attack,7,"March 2, 2021"
110,Waziristan,Terrorist Attack,10,"February 23, 2021"
111,Sukkur,Terrorist Attack,10,"February 19, 2021"
112,Waziristan,Terrorist Attack,7,"February 17, 2021"
113,Turbat,Terrorist Attack,8,"February 11, 2021"
114,Waziristan,Terrorist Attack,2,"February 4, 2021"
115,Waziristan,Terrorist Attack,10,"January 24, 2021"
116,Charsadda,Terrorist Attack,10,"January 19, 2021"
117,Gawadar,Terrorist Attack,13,"January 7, 2021"
118,Karachi,Terrorist Attack,7,"January 6, 2021"
119,Karachi,Terrorist Attack,20,"November 25, 2020"
120,Turbat,Terrorist Attack,12,"November 24, 2020"
121,Surab,Terrorist Attack,12,"November 3, 2020"
122,Loralai,Terrorist Attack,12,"October 31, 2020"
123,Gawadar,Terrorist Attack,10,"October 16, 2020"
124,Kohat,Terrorist Attack,13,"October 14, 2020"
125,Duki,Terrorist Attack,12,"October 9, 2020"
126,Waziristan,Terrorist Attack,13,"October 4, 2020"
127,Chitral,Terrorist Attack,20,"October 2, 2020"
128,Jacobabad,Terrorist Attack,12,"September 29, 2020"
129,Makran,Terrorist Attack,4,"September 19, 2020"
130,Waziristan,Terrorist Attack,4,"September 13, 2020"
131,Waziristan,Terrorist Attack,4,"September 7, 2020"
132,Thatta,Terrorist Attack,10,"August 12, 2020"
133,Karachi,Terrorist Attack,10,"July 18, 2020"
134,Larkana,Terrorist Attack,10,"June 29, 2020"
135,Ghotki,Terrorist Attack,7,"June 11, 2020"
136,Larkana,Terrorist Attack,10,"April 19, 2020"
137,Umarkot,Terrorist Attack,12,"April 17, 2020"
138,Badin,Terrorist Attack,8,"April 16, 2020"
139,Sehwan,Terrorist Attack,9,"February 22, 2020"
140,Nawabshah,Terrorist Attack,13,"February 13, 2020"
141,Peshawar,Terrorist Attack,13,"February 4, 2020"
142,Jacobabad,Terrorist Attack,12,"November 16, 2019"
143,Hyderabad,Terrorist Attack,6,"November 2, 2019"
144,Karachi,Terrorist Attack,7,"October 31, 2019"
145,Dadu,Terrorist Attack,8,"October 25, 2019"
146,Larkana,Terrorist Attack,7,"September 17, 2019"
147,Ghotki,Terrorist Attack,4,"September 16, 2019"
148,Khairpur,Terrorist Attack,7,"September 7, 2019"
149,Kashmore,Terrorist Attack,6,"August 16, 2019"
150,Shikarpur,Terrorist Attack,4,"July 27, 2019"
151,Sukkur,Terrorist Attack,8,"July 27, 2019"
152,Nawabshah,Terrorist Attack,4,"July 23, 2019"
153,Umarkot,Terrorist Attack,2,"July 3, 2019"
154,Kotri,Terrorist Attack,7,"July 2, 2019"
155,Gujrat ,Terrorist Attack,6,"July 1, 2019"
156,Peshawar,Terrorist Attack,4,"June 19, 2019"
157,Thatta,Terrorist Attack,6,"June 16, 2019"
158,Badin,Terrorist Attack,3,"June 10, 2019"
159,Lahore,Terrorist Attack,6,"June 10, 2019"
,Kot Diji,Terrorist Attack,7,"June 8, 2019"
161,Pano Akil,Terrorist Attack,7,"June 7, 2019"
162,Sehwan,Terrorist Attack,8,"June 1, 2019"
163,Latifabad,Terrorist Attack,7,"June 1, 2019"
164,Jamshoro,Terrorist Attack,8,"May 15, 2019"
165,Jacobabad,Terrorist Attack,4,"May 13, 2019"
166,Hyderabad,Terrorist Attack,3,"May 13, 2019"
167,Karachi,Terrorist Attack,4,"May 3, 2019"
168,Dadu,Terrorist Attack,4,"April 26, 2019"
169,Larkana,Terrorist Attack,10,"April 22, 2019"
170,Ghotki,Terrorist Attack,6,"April 17, 2019"
171,Khairpur,Terrorist Attack,7,"March 22, 2019"
172,Shikarpur,Terrorist Attack,3,"March 21, 2019"
173,Kashmore,Terrorist Attack,15,"March 18, 2019"
174,Sukkur,Terrorist Attack,16,"March 17, 2019"
175,Nawabshah,Terrorist Attack,5,"March 16, 2019"
176,Umarkot,Terrorist Attack,19,"March 15, 2019"
177,Mansehra,Terrorist Attack,20,"March 12, 2019"
178,Kotri,Terrorist Attack,12,"January 7, 2019"
179,Thatta,Terrorist Attack,2,"December 28, 2018"
180,Badin,Terrorist Attack,7,"December 21, 2018"
181,Sehwan,Terrorist Attack,34,"December 16, 2018"
182,Pano Akil,Terrorist Attack,6,"December 7, 2018"
183,Kot Diji,Terrorist Attack,14,"December 6, 2018"
184,Latifabad,Terrorist Attack,100,"November 25, 2018"
185,Padidan,Terrorist Attack,34,"November 23, 2018"
186,Tando Jam,Terrorist Attack,40,"November 20, 2018"
187,Jacobabad,Terrorist Attack,1,"November 13, 2018"
188,Hyderabad,Terrorist Attack,3,"September 28, 2018"
189,Karachi,Terrorist Attack,1,"September 10, 2018"
190,Dadu,Terrorist Attack,12,"August 7, 2018"
191,Larkana,Terrorist Attack,13,"July 15, 2018"
192,Ghotki,Terrorist Attack,17,"July 14, 2018"
193,Qambar,Terrorist Attack,40,"July 14, 2018"
194,Kot Diji,Terrorist Attack,6,"July 13, 2018"
195,Sehwan,Terrorist Attack,8,"June 27, 2018"
196,Latifabad,Terrorist Attack,16,"May 23, 2018"
197,Padidan,Terrorist Attack,30,"May 14, 2018"
198,Nawabshah,Terrorist Attack,34,"May 13, 2018"
199,Thatta,Terrorist Attack,30,"May 11, 2018"
200,Kotri,Terrorist Attack,45,"May 5, 2018"
201,Sukkur,Terrorist Attack,34,"April 11, 2018"
202,Sakrand,Terrorist Attack,40,"March 3, 2018"
203,Daharki,Terrorist Attack,30,"March 2, 2018"
204,kotri,Terrorist Attack,12,"February 23, 2018"
205,Thatta,Terrorist Attack,15,"February 17, 2018"
206,Nawabshah,Terrorist Attack,12,"February 14, 2018"
207,Padidan,Terrorist Attack,13,"February 7, 2018"
208,Dadu,Terrorist Attack,12,"February 6, 2018"
209,Kotri,Terrorist Attack,12,"February 3, 2018"
210,Sakrand,Terrorist Attack,1,"February 2, 2018"
211,Kotri,Terrorist Attack,13,"January 24, 2018"
212,Latifabad,Terrorist Attack,14,"January 21, 2018"
213,Karachi,Terrorist Attack,12,"January 21, 2018"
214,Jacobabad,Terrorist Attack,12,"January 19, 2018"
215,Sehwan,Terrorist Attack,90,"January 8, 2018"
216,Thatta,Terrorist Attack,23,"December 22, 2017"
217,Quetta,Terrorist Attack,9,"December 17, 2017"
218,Sukkur,Terrorist Attack,9,"December 10, 2017"
219,Khairpur,Terrorist Attack,80,"December 3, 2017"
220,Shikarpur,Terrorist Attack,45,"December 1, 2017"
221,Tando Jam,Terrorist Attack,50,"November 29, 2017"
222,Daharki,Terrorist Attack,12,"November 18, 2017"
223,Kashmore,Terrorist Attack,13,"November 1, 2017"
224,Khairpur,Terrorist Attack,12,"October 20, 2017"
225,Dadu,Terrorist Attack,10,"October 20, 2017"
226,Dadu,Terrorist Attack,2,"September 28, 2017"
227,Larkana,Terrorist Attack,12,"September 28, 2017"
228,Ghotki,Terrorist Attack,3,"September 26, 2017"
229,Dadu,Terrorist Attack,13,"September 25, 2017"
230,Larkana,Terrorist Attack,13,"September 6, 2017"
231,Ghotki,Terrorist Attack,11,"August 22, 2017"
232,Khairpur,Terrorist Attack,12,"August 14, 2017"
233,Kashmore,Terrorist Attack,1,"August 13, 2017"
234,Shikarpur,Terrorist Attack,10,"August 6, 2017"
235,Kot Diji,Terrorist Attack,5,"July 23, 2017"
236,Qambar,Terrorist Attack,6,"July 22, 2017"
237,Thatta,Terrorist Attack,5,"July 22, 2017"
238,Kotri,Terrorist Attack,12,"July 15, 2017"
239,Padidan,Terrorist Attack,12,"July 12, 2017"
240,Latifabad,Terrorist Attack,11,"June 27, 2017"
241,Padidan,Terrorist Attack,11,"June 24, 2017"
242,Latifabad,Terrorist Attack,3,"June 24, 2017"
243,Daharki,Terrorist Attack,12,"June 9, 2017"
244,Pano Akil,Terrorist Attack,8,"June 9, 2017"
245,Sukkur,Terrorist Attack,11,"June 8, 2017"
246,Nawabshah,Terrorist Attack,9,"June 4, 2017"
247,Umarkot,Terrorist Attack,9,"June 4, 2017"
248,Sukkur,Terrorist Attack,12,"June 4, 2017"
249,Kot Diji,Terrorist Attack,7,"May 24, 2017"
250,Hyderabad,Terrorist Attack,4,"May 10, 2017"
251,Nawabshah,Terrorist Attack,3,"April 17, 2017"
252,Sehwan,Terrorist Attack,11,"April 14, 2017"
253,Daharki,Terrorist Attack,12,"April 11, 2017"
254,Badin,Terrorist Attack,3,"March 30, 2017"
255,Nawabshah,Terrorist Attack,7,"March 28, 2017"
256,Kotri,Terrorist Attack,4,"March 22, 2017"
257,Sehwan,Terrorist Attack,11,"March 22, 2017"
258,Hyderabad,Terrorist Attack,8,"March 15, 2017"
259,Kohat,Terrorist Attack,4,"March 8, 2017"
260,Larkana,Terrorist Attack,2,"March 6, 2017"
261,Padidan,Terrorist Attack,5,"March 4, 2017"
262,Kotri,Terrorist Attack,4,"March 1, 2017"
263,Kashmore,Terrorist Attack,5,"February 23, 2017"
264,Daharki,Terrorist Attack,7,"February 23, 2017"
265,Padidan,Terrorist Attack,4,"February 22, 2017"
266,Sukkur,Terrorist Attack,3,"February 22, 2017"
267,Shikarpur,Terrorist Attack,2,"February 19, 2017"
268,Shikarpur,Terrorist Attack,11,"February 19, 2017"
269,Padidan,Terrorist Attack,8,"February 19, 2017"
270,Larkana,Terrorist Attack,5,"February 17, 2017"
271,Sheikhupura,Terrorist Attack,7,"February 17, 2017"
272,Khairpur,Terrorist Attack,5,"February 14, 2017"
273,Thatta,Terrorist Attack,7,"January 31, 2017"
274,Badin,Terrorist Attack,4,"January 8, 2017"
275,Daharki,Terrorist Attack,3,"December 22, 2016"
276,Umarkot,Terrorist Attack,7,"December 16, 2016"
277,Hyderabad,Terrorist Attack,5,"December 11, 2016"
278,Padidan,Terrorist Attack,6,"December 6, 2016"
279,Nawabshah,Terrorist Attack,7,"December 5, 2016"
280,Sehwan,Terrorist Attack,6,"December 5, 2016"
281,Larkana,Terrorist Attack,5,"November 22, 2016"
282,Pano Akil,Terrorist Attack,4,"November 17, 2016"
283,Khairpur,Terrorist Attack,7,"November 11, 2016"
284,Padidan,Terrorist Attack,5,"November 3, 2016"
285,Sehwan,Terrorist Attack,6,"October 29, 2016"
286,Larkana,Terrorist Attack,5,"October 25, 2016"
287,Kashmore,Terrorist Attack,4,"October 21, 2016"
288,Rato Dero ,Terrorist Attack,6,"October 16, 2016"
289,Nawabshah,Terrorist Attack,9,"October 14, 2016"
290,Khairpur,Terrorist Attack,3,"October 7, 2016"
291,Thatta,Terrorist Attack,2,"October 6, 2016"
292,Daharki,Terrorist Attack,5,"September 23, 2016"
293,Badin,Terrorist Attack,4,"September 22, 2016"
294,Pano Akil,Terrorist Attack,6,"September 19, 2016"
295,Kashmore,Terrorist Attack,5,"September 15, 2016"
296,Larkana,Terrorist Attack,3,"September 9, 2016"
297,Sakrand,Terrorist Attack,7,"September 8, 2016"
298,Thatta,Terrorist Attack,5,"September 3, 2016"
299,Ghotki,Terrorist Attack,4,"August 25, 2016"
300,Sehwan,Terrorist Attack,3,"August 23, 2016"
301,Bhiria,Terrorist Attack,6,"August 12, 2016"
302,Padidan,Terrorist Attack,7,"August 12, 2016"
303,Kashmore,Terrorist Attack,4,"August 11, 2016"
304,Shikarpur,Terrorist Attack,3,"August 10, 2016"
305,Hyderabad,Terrorist Attack,5,"August 4, 2016"
306,Kotri,Terrorist Attack,8,"August 4, 2016"
307,Jacobabad,Terrorist Attack,7,"August 3, 2016"
308,Hyderabad,Terrorist Attack,6,"August 2, 2016"
309,Karachi,Terrorist Attack,8,"July 30, 2016"
310,Jacobabad,Terrorist Attack,6,"July 27, 2016"
311,Hyderabad,Terrorist Attack,3,"July 15, 2016"
312,Karachi,Terrorist Attack,4,"July 15, 2016"
313,Dadu,Terrorist Attack,5,"July 8, 2016"
314,Larkana,Terrorist Attack,5,"July 5, 2016"
315,Ghotki,Terrorist Attack,5,"July 5, 2016"
316,Dadu,Terrorist Attack,4,"July 5, 2016"
317,Larkana,Terrorist Attack,3,"June 29, 2016"
318,Ghotki,Terrorist Attack,5,"June 18, 2016"
319,Dadu,Terrorist Attack,4,"June 16, 2016"
320,Larkana,Terrorist Attack,5,"June 10, 2016"
321,Ghotki,Terrorist Attack,3,"May 29, 2016"
322,Dadu,Terrorist Attack,4,"May 28, 2016"
323,Larkana,Terrorist Attack,5,"May 17, 2016"
324,Ghotki,Terrorist Attack,6,"May 5, 2016"
325,Khairpur,Terrorist Attack,6,"May 3, 2016"
326,Shikarpur,Terrorist Attack,8,"May 1, 2016"
327,Kashmore,Terrorist Attack,6,"April 12, 2016"
328,Khairpur,Terrorist Attack,4,"April 9, 2016"
329,Shikarpur,Terrorist Attack,5,"April 9, 2016"
330,Khairpur,Terrorist Attack,4,"April 6, 2016"
331,Kashmore,Terrorist Attack,3,"March 31, 2016"
332,Shikarpur,Terrorist Attack,6,"March 30, 2016"
333,Kashmore,Terrorist Attack,8,"March 28, 2016"
334,Khairpur,Terrorist Attack,5,"March 23, 2016"
335,Sukkur,Terrorist Attack,3,"March 21, 2016"
336,Nawabshah,Terrorist Attack,1,"March 19, 2016"
337,Umarkot,Terrorist Attack,3,"March 13, 2016"
338,Sukkur,Terrorist Attack,4,"March 2, 2016"
339,Nawabshah,Terrorist Attack,12,"February 25, 2016"
340,Umarkot,Terrorist Attack,10,"February 19, 2016"
341,Sukkur,Terrorist Attack,12,"February 18, 2016"
342,Sheikhupura,Terrorist Attack,6,"February 17, 2016"
343,Nawabshah,Terrorist Attack,9,"February 12, 2016"
344,Sukkur,Terrorist Attack,11,"February 11, 2016"
345,Sheikhupura,Terrorist Attack,5,"February 11, 2016"
346,Nawabshah,Terrorist Attack,4,"January 26, 2016"
347,Kotri,Terrorist Attack,5,"January 24, 2016"
348,Thatta,Terrorist Attack,4,"January 23, 2016"
349,Sukkur,Terrorist Attack,3,"January 23, 2016"
350,Nawabshah,Terrorist Attack,4,"January 13, 2016"
351,Sukkur,Terrorist Attack,8,"January 12, 2016"
352,Thatta,Terrorist Attack,6,"January 5, 2016"
353,Dadu,Terrorist Attack,7,"December 24, 2015"
354,Badin,Terrorist Attack,6,"December 18, 2015"
355,Qambar,Terrorist Attack,7,"December 2, 2015"
356,Padidan,Terrorist Attack,4,"December 2, 2015"
357,Thatta,Terrorist Attack,7,"December 2, 2015"
358,Khairpur,Terrorist Attack,6,"November 23, 2015"
359,Sukkur,Terrorist Attack,5,"November 20, 2015"
360,Padidan,Terrorist Attack,5,"November 19, 2015"
361,Badin,Terrorist Attack,7,"November 17, 2015"
362,Jamshoro,Terrorist Attack,11,"November 17, 2015"
363,Karachi,Terrorist Attack,3,"November 16, 2015"
364,Jamshoro,Terrorist Attack,2,"November 16, 2015"
365,Charsadda,Terrorist Attack,5,"November 16, 2015"
366,Jamshoro,Terrorist Attack,11,"November 16, 2015"
367,Khairpur,Terrorist Attack,14,"November 16, 2015"
368,Sheikhupura,Terrorist Attack,3,"November 15, 2015"
369,Sukkur,Terrorist Attack,1,"November 14, 2015"
370,Nawabshah,Terrorist Attack,8,"November 14, 2015"
371,Kotri,Terrorist Attack,9,"November 14, 2015"
372,Thatta,Terrorist Attack,7,"November 14, 2015"
373,Badin,Terrorist Attack,4,"November 14, 2015"
374,Qambar,Terrorist Attack,3,"October 20, 2015"
375,Padidan,Terrorist Attack,5,"September 22, 2015"
376,Nawabshah,Terrorist Attack,3,"September 14, 2015"
377,Jamshoro,Terrorist Attack,5,"September 13, 2015"
378,Kamshore,Terrorist Attack,7,"September 10, 2015"
379,Umarkot,Terrorist Attack,7,"September 9, 2015"
380,Thatta,Terrorist Attack,2,"September 3, 2015"
381,Jamshoro,Terrorist Attack,19,"September 2, 2015"
382,Sehwan,Terrorist Attack,20,"July 3, 2015"
383,Hyderabad,Terrorist Attack,4,"June 29, 2015"
384,Nawabshah,Terrorist Attack,3,"June 22, 2015"
385,Larkana,Terrorist Attack,2,"June 21, 2015"
386,Jamshoro,Terrorist Attack,13,"May 27, 2015"
387,Badin,Terrorist Attack,14,"May 14, 2015"
388,Daharki,Terrorist Attack,11,"May 2, 2015"
389,Dadu,Terrorist Attack,4,"April 10, 2015"
390,Tando Jam,Terrorist Attack,6,"April 3, 2015"
391,Padidan,Terrorist Attack,2,"March 20, 2015"
392,Nawabshah,Terrorist Attack,12,"March 16, 2015"
393,Sakrand,Terrorist Attack,20,"March 16, 2015"
394,Tando Jam,Terrorist Attack,30,"March 15, 2015"
395,Larkana,Terrorist Attack,4,"March 14, 2015"
396,Latifabad,Terrorist Attack,2,"March 12, 2015"
397,Pano Akil,Terrorist Attack,30,"March 9, 2015"
398,Daharki,Terrorist Attack,9,"March 4, 2015"
399,Nawabshah,Terrorist Attack,3,"February 26, 2015"
400,Kotri,Terrorist Attack,8,"February 25, 2015"
401,Khairpur,Terrorist Attack,2,"February 23, 2015"
402,Khairpur,Terrorist Attack,3,"February 17, 2015"
403,Daharki,Terrorist Attack,4,"February 15, 2015"
404,Sakrand,Terrorist Attack,3,"February 10, 2015"
405,Shikarpur,Terrorist Attack,1,"February 3, 2015"
406,Umarkot,Terrorist Attack,2,"January 30, 2015"
407,Kashmore,Terrorist Attack,3,"January 12, 2015"
408,Nawabshah,Terrorist Attack,4,"January 10, 2015"
409,Latifabad,Terrorist Attack,6,"January 9, 2015"
410,Padidan,Terrorist Attack,7,"January 9, 2015"
411,Larkana,Terrorist Attack,5,"December 24, 2014"
412,Bannu,Terrorist Attack,8,"December 23, 2014"
413,Balakot,Terrorist Attack,6,"December 22, 2014"
414,Lower Dir,Terrorist Attack,5,"December 20, 2014"
415,Dera Ismail Khan,Terrorist Attack,4,"December 19, 2014"
416,Swabi,Terrorist Attack,9,"December 9, 2014"
417,Larkana,Terrorist Attack,4,"December 9, 2014"
418,Karachi,Terrorist Attack,5,"November 29, 2014"
419,Lahore,Terrorist Attack,3,"November 6, 2014"
420,Quetta,Terrorist Attack,2,"November 6, 2014"
421,Multan,Terrorist Attack,3,"November 5, 2014"
422,Surab,Terrorist Attack,8,"November 4, 2014"
423,Chitral,Terrorist Attack,5,"October 28, 2014"
424,Swabi,Terrorist Attack,3,"October 25, 2014"
425,Abbottabad,Terrorist Attack,10,"October 25, 2014"
426,Khuzdar,Terrorist Attack,5,"October 1, 2014"
427,Las bela,Terrorist Attack,10,"September 23, 2014"
428,Gawadar,Terrorist Attack,4,"September 22, 2014"
429,Karachi,Terrorist Attack,3,"September 17, 2014"
430,Faisalabad,Terrorist Attack,10,"September 11, 2014"
431,Kohat,Terrorist Attack,2,"September 10, 2014"
432,Turbat,Terrorist Attack,12,"September 2, 2014"
433,Chamman,Terrorist Attack,7,"August 15, 2014"
434,Quetta,Terrorist Attack,6,"August 15, 2014"
435,Loralai,Terrorist Attack,5,"July 17, 2014"
436,Chitral,Terrorist Attack,3,"July 2, 2014"
437,Peshawar,Terrorist Attack,2,"June 29, 2014"
438,Mardan ,Terrorist Attack,8,"June 15, 2014"
439,Mingora,Terrorist Attack,6,"June 10, 2014"
440,Charsadda,Terrorist Attack,5,"May 27, 2014"
441,Sarghoda,Terrorist Attack,5,"May 14, 2014"
442,Gujrat ,Terrorist Attack,8,"May 9, 2014"
443,Sibbi,Terrorist Attack,5,"May 6, 2014"
444,Bannu,Terrorist Attack,5,"May 2, 2014"
445,Swabi,Terrorist Attack,3,"April 23, 2014"
446,Mansehra,Terrorist Attack,4,"March 7, 2014"
447,Kabal,Terrorist Attack,8,"March 1, 2014"
448,Bannu,Terrorist Attack,3,"February 24, 2014"
449,Charsadda,Terrorist Attack,2,"February 22, 2014"
450,Mardan ,Terrorist Attack,7,"February 18, 2014"
451,Kohat,Terrorist Attack,9,"February 2, 2014"
452,Balakot,Terrorist Attack,6,"January 30, 2014"
453,Lower Dir,Terrorist Attack,11,"January 29, 2014"
454,Dera Ismail Khan,Terrorist Attack,5,"January 28, 2014"
455,Mardan ,Terrorist Attack,8,"January 28, 2014"
456,Charsadda,Terrorist Attack,7,"January 19, 2014"
457,Lahore,Terrorist Attack,1,"January 15, 2014"
458,Jhelum ,Terrorist Attack,6,"December 20, 2013"
459,Sibbi,Terrorist Attack,4,"December 16, 2013"
460,Sialkot,Terrorist Attack,4,"February 10, 2021"
461,Pano Akil,Terrorist Attack,5,"August 30, 2019"
462,Battagram,Terrorist Attack,14,"March 17, 2019"
463,Nisatta,Terrorist Attack,6,"March 16, 2019"
464,Mansehra,Terrorist Attack,4,"March 16, 2019"
465,Mardan ,Terrorist Attack,9,"February 15, 2016"
466,Mingora,Terrorist Attack,10,"January 24, 2016"
467,Swabi,Terrorist Attack,12,"December 31, 2015"
468,Chitral,Terrorist Attack,12,"August 25, 2015"
469,Kohat,Terrorist Attack,12,"August 19, 2015"
470,Kabal,Terrorist Attack,1,"June 27, 2015"
471,Hangu,Terrorist Attack,11,"February 18, 2015"
472,Battagram,Terrorist Attack,12,"January 11, 2015"
473,Lower Dir,Terrorist Attack,13,"December 30, 2014"
474,Mansehra,Terrorist Attack,11,"October 13, 2014"
475,Mardan ,Terrorist Attack,10,"December 21, 2022"
476,Bannu,Terrorist Attack,11,"December 17, 2022"
477,Kohat,Terrorist Attack,12,"December 6, 2022"
478,Peshawar,Terrorist Attack,6,"November 26, 2022"
479,Waziristan,Terrorist Attack,11,"November 25, 2022"
480,Swabi,Terrorist Attack,7,"November 25, 2022"
481,Swat,Terrorist Attack,9,"November 24, 2022"
482,Mardan ,Terrorist Attack,5,"November 24, 2022"
483,Abbottabad,Terrorist Attack,9,"October 29, 2022"
484,Loralai,Terrorist Attack,11,"October 23, 2022"
485,Khuzdar,Terrorist Attack,10,"October 18, 2022"
486,Gawadar,Terrorist Attack,9,"October 12, 2022"
